time,code,name,start_date,end_date,status,rows,reason
2026-06-18 21:30:06,000592,平潭发展,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000576,甘化科工,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000593,德龙汇能,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000581,威孚高科,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:06,000595,*ST宝实,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:06,000582,北部湾港,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000589,贵州轮胎,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000596,古井贡酒,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000586,汇源通信,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000597,东北制药,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000591,太阳能,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000598,兴蓉环境,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000599,青岛双星,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000590,古汉医药,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000600,建投能源,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000592,平潭发展,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000593,德龙汇能,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000601,韶能股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000603,盛达资源,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000595,*ST宝实,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000596,古井贡酒,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000605,渤海股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000597,东北制药,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000607,华媒控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:07,000599,青岛双星,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:07,000608,阳光股份,2026-06-18,2026-06-18,started,0,
