rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
46,67.6574270306697,58.48283787551917,002407,多氟多,bottom_area,2025-11-24,31.12,2025-11-24,30.51,1.9993444772205815,6.7191084890199955,27.339842819718978,False,-3.053,17.2462,1,2,1,50.0,37.910447761194014,37.910447761194014,18.000655522779418,1.9993444772205815,历史1/2次成功; 当前距低点2.00%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
47,67.5144723208568,58.56845528455281,600094,大名城,bottom_area,2025-11-24,4.19,2025-11-21,4.1,2.1951219512195306,5.365853658536601,30.743243243243246,False,-0.2381,1.7307,1,3,1,33.33333333333333,87.28070175438596,87.28070175438596,17.80487804878047,2.1951219512195306,历史1/3次成功; 当前距低点2.20%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
48,66.2613783001776,57.46310568246956,002250,联化科技,bottom_area,2025-11-24,11.73,2025-11-24,11.48,2.1777003484320554,5.662020905923348,29.17951881554596,False,-0.9291,5.9564,1,2,1,50.0,24.399260628465807,24.399260628465807,17.822299651567945,2.1777003484320554,历史1/2次成功; 当前距低点2.18%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
49,64.6896475258806,55.699545452797516,300769,德方纳米,bottom_area,2025-11-24,45.6,2025-11-24,44.8,1.7857142857142954,6.0267857142857215,27.107061503416862,False,-1.4693,8.7562,2,8,2,25.0,30.946096904441454,41.300000000000004,18.214285714285705,1.7857142857142954,历史2/8次成功; 当前距低点1.79%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
50,64.65189243436333,57.32183636316193,300584,海辰药业,bottom_area,2025-11-24,54.6,2025-11-24,52.81,3.3895095625828424,6.419238780533991,28.05177111716621,False,-1.1228,8.243,2,6,2,33.33333333333333,41.271961465147655,54.23197492163009,16.61049043741716,3.3895095625828424,历史2/6次成功; 当前距低点3.39%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
51,64.37257324018714,53.97172541046533,002136,安纳达,bottom_area,2025-11-24,12.07,2025-11-24,12.03,0.33250207813799604,3.4912718204488775,30.381944444444454,False,-1.1466,7.8896,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,19.667497921862005,0.33250207813799604,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
52,64.16237630487633,56.33769626769628,688310,迈得医疗,bottom_area,2025-11-24,15.48,2025-11-21,15.05,2.857142857142855,6.245847176079731,29.804104477611943,False,1.8421,2.3771,1,3,1,33.33333333333333,23.648648648648653,23.648648648648653,17.142857142857146,2.857142857142855,历史1/3次成功; 当前距低点2.86%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
53,64.13952283189435,54.12875406483168,000661,长春高新,bottom_area,2025-11-24,99.36,2025-11-24,98.68,0.689096068098898,1.0336441021483542,30.394300627777387,False,0.455,0.9309,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,19.3109039319011,0.689096068098898,历史1/3次成功; 当前距低点0.69%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
54,63.8646195104088,56.00435864758926,002338,奥普光电,bottom_area,2025-11-24,50.16,2025-11-21,48.8,2.7868852459016384,3.1967213114754145,30.632551528073915,False,2.3465,1.5208,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,17.213114754098363,2.7868852459016384,历史1/3次成功; 当前距低点2.79%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
55,63.539823255156264,56.51874725537812,300680,隆盛科技,bottom_area,2025-11-24,43.26,2025-11-21,41.77,3.5671534594206245,4.740244194397886,28.9625850340136,False,1.8601,4.2594,1,4,1,25.0,34.71428571428571,34.71428571428571,16.432846540579376,3.5671534594206245,历史1/4次成功; 当前距低点3.57%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
56,63.37704723243165,56.21280657321242,603026,石大胜华,bottom_area,2025-11-24,80.66,2025-11-24,78.0,3.4102564102564057,5.641025641025648,29.450072358900147,False,0.6489,6.8976,1,4,1,25.0,31.14618918600542,31.14618918600542,16.589743589743595,3.4102564102564057,历史1/4次成功; 当前距低点3.41%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
57,63.34444147516193,55.848126005187304,603366,日出东方,bottom_area,2025-11-24,9.7,2025-11-24,9.41,3.081827842720501,3.825717321997869,29.776119402985074,False,1.2526,6.704,1,4,1,25.0,25.15964240102172,25.15964240102172,16.9181721572795,3.081827842720501,历史1/4次成功; 当前距低点3.08%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
58,62.947979890471274,55.95702365438533,603767,中马传动,bottom_area,2025-11-24,22.86,2025-11-21,22.08,3.532608695652179,4.076086956521749,27.725040916530286,False,2.6032,2.015,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,16.46739130434782,3.532608695652179,历史1/3次成功; 当前距低点3.53%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
59,62.70801991284063,57.20672430154191,002374,中锐股份,bottom_area,2025-11-24,3.39,2025-11-24,3.23,4.953560371517033,5.882352941176469,30.237580993520517,False,0.2959,11.5896,2,5,2,40.0,22.907752411831932,24.873096446700508,15.046439628482968,4.953560371517033,历史2/5次成功; 当前距低点4.95%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
60,62.354458080688964,56.12130387343155,301038,深水规院,bottom_area,2025-11-24,24.49,2025-11-21,23.5,4.212765957446802,4.38297872340426,27.803379416282638,False,4.2128,1.9842,1,3,1,33.33333333333333,39.102564102564095,39.102564102564095,15.7872340425532,4.212765957446802,历史1/3次成功; 当前距低点4.21%; 最新日涨幅4.21%; 状态bottom_area; 底部未确认
61,60.239259699553976,51.315569192516385,000546,金圆股份,bottom_area,2025-11-24,5.9,2025-11-24,5.83,1.2006861063464884,6.689536878216118,30.263157894736835,False,-8.9506,30.6505,1,5,1,20.0,21.253405994550416,21.253405994550416,18.799313893653512,1.2006861063464884,历史1/5次成功; 当前距低点1.20%; 最新日涨幅-8.95%; 状态bottom_area; 底部未确认
62,59.83776780027807,50.64032459769039,600693,东百集团,bottom_area,2025-11-24,8.38,2025-11-24,8.31,0.8423586040914595,7.581227436823092,31.32231404958677,False,-2.217,11.031,1,3,1,33.33333333333333,30.632090761750412,30.632090761750412,19.15764139590854,0.8423586040914595,历史1/3次成功; 当前距低点0.84%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
63,56.90188230480757,48.248809438391774,600319,亚星化学,bottom_area,2025-11-24,8.52,2025-11-24,8.44,0.9478672985782,4.8578199052132724,28.77637130801688,False,-9.1684,8.9911,1,3,1,33.33333333333333,29.282868525896426,29.282868525896426,19.0521327014218,0.9478672985782,历史1/3次成功; 当前距低点0.95%; 最新日涨幅-9.17%; 状态bottom_area; 底部未确认
64,54.98109410483572,46.58236349296907,000797,中国武夷,bottom_area,2025-11-24,3.35,2025-11-24,3.32,0.9036144578313329,6.024096385542174,31.827515400410682,False,-6.6852,11.4053,1,4,1,25.0,21.169916434540383,21.169916434540383,19.09638554216867,0.9036144578313329,历史1/4次成功; 当前距低点0.90%; 最新日涨幅-6.69%; 状态bottom_area; 底部未确认
