code,bs_code,name,requested_until,updated_at
000792,sz.000792,盐湖股份,2026-06-08,2026-06-08 00:52:17
000793,sz.000793,*ST华闻,2026-06-08,2026-06-08 00:52:17
000795,sz.000795,英洛华,2026-06-08,2026-06-08 00:52:17
000796,sz.000796,凯撒旅业,2026-06-08,2026-06-08 00:52:17
000797,sz.000797,中国武夷,2026-06-08,2026-06-08 00:52:17
000798,sz.000798,中水渔业,2026-06-08,2026-06-08 00:52:17
000799,sz.000799,酒鬼酒,2026-06-08,2026-06-08 00:52:17
000800,sz.000800,一汽解放,2026-06-08,2026-06-08 00:52:17
000801,sz.000801,四川九洲,2026-06-08,2026-06-08 00:52:17
000802,sz.000802,北京文化,2026-06-08,2026-06-08 00:52:17
000803,sz.000803,山高环能,2026-06-08,2026-06-08 00:52:17
000807,sz.000807,云铝股份,2026-06-08,2026-06-08 00:52:17
000809,sz.000809,和展能源,2026-06-08,2026-06-08 00:52:17
000810,sz.000810,创维数字,2026-06-08,2026-06-08 00:52:17
000811,sz.000811,冰轮环境,2026-06-08,2026-06-08 00:52:17
000812,sz.000812,陕西金叶,2026-06-08,2026-06-08 00:52:17
000813,sz.000813,德展健康,2026-06-08,2026-06-08 00:52:17
000815,sz.000815,美利云,2026-06-08,2026-06-08 00:52:17
000816,sz.000816,智慧农业,2026-06-08,2026-06-08 00:52:17
000818,sz.000818,航锦科技,2026-06-08,2026-06-08 00:52:17
000819,sz.000819,岳阳兴长,2026-06-08,2026-06-08 00:52:17
000820,sz.000820,*ST节能,2026-06-08,2026-06-08 00:52:17
000821,sz.000821,ST京机,2026-06-08,2026-06-08 00:52:17
000822,sz.000822,山东海化,2026-06-08,2026-06-08 00:52:17
000823,sz.000823,超声电子,2026-06-08,2026-06-08 00:52:17
000825,sz.000825,太钢不锈,2026-06-08,2026-06-08 00:52:17
000826,sz.000826,*ST启环,2026-06-08,2026-06-08 00:52:17
000828,sz.000828,东莞控股,2026-06-08,2026-06-08 00:52:17
000829,sz.000829,天音控股,2026-06-08,2026-06-08 00:52:17
000830,sz.000830,鲁西化工,2026-06-08,2026-06-08 00:52:17
000831,sz.000831,中国稀土,2026-06-08,2026-06-08 00:52:17
000833,sz.000833,粤桂股份,2026-06-08,2026-06-08 00:52:17
000837,sz.000837,秦川机床,2026-06-08,2026-06-08 00:52:17
000838,sz.000838,*ST发展,2026-06-08,2026-06-08 00:52:17
000839,sz.000839,国安股份,2026-06-08,2026-06-08 00:52:17
000848,sz.000848,承德露露,2026-06-08,2026-06-08 00:52:17
000850,sz.000850,华茂股份,2026-06-08,2026-06-08 00:52:17
000852,sz.000852,石化机械,2026-06-08,2026-06-08 00:52:17
000856,sz.000856,冀东装备,2026-06-08,2026-06-08 00:52:17
000858,sz.000858,五粮液,2026-06-08,2026-06-08 00:52:17
000859,sz.000859,国风新材,2026-06-08,2026-06-08 00:52:17
000860,sz.000860,顺鑫农业,2026-06-08,2026-06-08 00:52:17
000862,sz.000862,银星能源,2026-06-08,2026-06-08 00:52:17
000863,sz.000863,三湘印象,2026-06-08,2026-06-08 00:52:17
000868,sz.000868,安凯客车,2026-06-08,2026-06-08 00:52:17
000869,sz.000869,张裕A,2026-06-08,2026-06-08 00:52:17
000875,sz.000875,电投绿能,2026-06-08,2026-06-08 00:52:17
000876,sz.000876,新希望,2026-06-08,2026-06-08 00:52:17
000877,sz.000877,天山股份,2026-06-08,2026-06-08 00:52:17
000878,sz.000878,云南铜业,2026-06-08,2026-06-08 00:52:17
000880,sz.000880,潍柴重机,2026-06-08,2026-06-08 00:52:17
000881,sz.000881,中广核技,2026-06-08,2026-06-08 00:52:17
000882,sz.000882,华联股份,2026-06-08,2026-06-08 00:52:17
000883,sz.000883,湖北能源,2026-06-08,2026-06-08 00:52:17
000885,sz.000885,城发环境,2026-06-08,2026-06-08 00:52:17
000886,sz.000886,海南高速,2026-06-08,2026-06-08 00:52:17
000887,sz.000887,中鼎股份,2026-06-08,2026-06-08 00:52:17
000888,sz.000888,峨眉山A,2026-06-08,2026-06-08 00:52:17
000889,sz.000889,中嘉博创,2026-06-08,2026-06-08 00:52:17
000890,sz.000890,法尔胜,2026-06-08,2026-06-08 00:52:17
000892,sz.000892,欢瑞世纪,2026-06-08,2026-06-08 00:52:17
000893,sz.000893,亚钾国际,2026-06-08,2026-06-08 00:52:17
000895,sz.000895,双汇发展,2026-06-08,2026-06-08 00:52:17
000897,sz.000897,津滨发展,2026-06-08,2026-06-08 00:52:17
000898,sz.000898,鞍钢股份,2026-06-08,2026-06-08 00:52:17
000899,sz.000899,赣能股份,2026-06-08,2026-06-08 00:52:17
000900,sz.000900,现代投资,2026-06-08,2026-06-08 00:52:17
000901,sz.000901,航天科技,2026-06-08,2026-06-08 00:52:17
000902,sz.000902,新洋丰,2026-06-08,2026-06-08 00:52:17
000903,sz.000903,ST云动,2026-06-08,2026-06-08 00:52:17
000905,sz.000905,厦门港务,2026-06-08,2026-06-08 00:52:17
000906,sz.000906,浙商中拓,2026-06-08,2026-06-08 00:52:17
000908,sz.000908,ST景峰,2026-06-08,2026-06-08 00:52:17
000909,sz.000909,*ST数源,2026-06-08,2026-06-08 00:52:17
000910,sz.000910,大亚圣象,2026-06-08,2026-06-08 00:52:17
000911,sz.000911,*ST广糖,2026-06-08,2026-06-08 00:52:17
000912,sz.000912,泸天化,2026-06-08,2026-06-08 00:52:17
000913,sz.000913,钱江摩托,2026-06-08,2026-06-08 00:52:17
000915,sz.000915,华特达因,2026-06-08,2026-06-08 00:52:17
000917,sz.000917,电广传媒,2026-06-08,2026-06-08 00:52:17
000919,sz.000919,金陵药业,2026-06-08,2026-06-08 00:52:17
000920,sz.000920,沃顿科技,2026-06-08,2026-06-08 00:52:17
000921,sz.000921,海信家电,2026-06-08,2026-06-08 00:52:17
